2017-02-14 10:31:48 status unpacked coreutils:amd64 8.23-4
2017-02-14 10:31:48 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2017-02-14 10:31:48 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2017-02-14 10:31:48 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-02-14 10:31:48 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-02-14 10:31:48 install dash:amd64 <none> 0.5.7-4+b1
2017-02-14 10:31:48 status half-installed dash:amd64 0.5.7-4+b1
2017-02-14 10:31:48 status unpacked dash:amd64 0.5.7-4+b1
2017-02-14 10:31:48 status unpacked dash:amd64 0.5.7-4+b1
2017-02-14 10:31:48 install libdb5.3:amd64 <none> 5.3.28-9
2017-02-14 10:31:48 status half-installed libdb5.3:amd64 5.3.28-9
2017-02-14 10:31:48 status unpacked libdb5.3:amd64 5.3.28-9
2017-02-14 10:31:48 status unpacked libdb5.3:amd64 5.3.28-9
2017-02-14 10:31:48 upgrade debconf:all 1.5.56 1.5.56
2017-02-14 10:31:48 status half-configured debconf:all 1.5.56
2017-02-14 10:31:48 status unpacked debconf:all 1.5.56
2017-02-14 10:31:48 status half-installed debconf:all 1.5.56
2017-02-14 10:31:48 status half-installed debconf:all 1.5.56
2017-02-14 10:31:48 status unpacked debconf:all 1.5.56
2017-02-14 10:31:48 status unpacked debconf:all 1.5.56
2017-02-14 10:31:48 install debconf-i18n:all <none> 1.5.56
2017-02-14 10:31:48 status half-installed debconf-i18n:all 1.5.56
2017-02-14 10:31:49 status unpacked debconf-i18n:all 1.5.56
2017-02-14 10:31:49 status unpacked debconf-i18n:all 1.5.56
2017-02-14 10:31:49 install debianutils:amd64 <none> 4.4+b1
2017-02-14 10:31:49 status half-installed debianutils:amd64 4.4+b1
2017-02-14 10:31:49 status unpacked debianutils:amd64 4.4+b1
2017-02-14 10:31:49 status unpacked debianutils:amd64 4.4+b1
2017-02-14 10:31:49 install diffutils:amd64 <none> 1:3.3-1+b1
2017-02-14 10:31:49 status half-installed diffutils:amd64 1:3.3-1+b1
2017-02-14 10:31:49 status unpacked diffutils:amd64 1:3.3-1+b1
2017-02-14 10:31:49 status unpacked diffutils:amd64 1:3.3-1+b1
2017-02-14 10:31:49 upgrade dpkg:amd64 1.17.27 1.17.27
2017-02-14 10:31:49 status half-configured dpkg:amd64 1.17.27
2017-02-14 10:31:49 status unpacked dpkg:amd64 1.17.27
2017-02-14 10:31:49 status half-installed dpkg:amd64 1.17.27
2017-02-14 10:31:49 status half-installed dpkg:amd64 1.17.27
2017-02-14 10:31:49 status unpacked dpkg:amd64 1.17.27
2017-02-14 10:31:49 status unpacked dpkg:amd64 1.17.27
2017-02-14 10:31:49 install e2fslibs:amd64 <none> 1.42.12-2+b1
2017-02-14 10:31:49 status half-installed e2fslibs:amd64 1.42.12-2+b1
2017-02-14 10:31:49 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-02-14 10:31:49 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-02-14 10:31:49 install e2fsprogs:amd64 <none> 1.42.12-2+b1
2017-02-14 10:31:49 status half-installed e2fsprogs:amd64 1.42.12-2+b1
2017-02-14 10:31:50 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-02-14 10:31:50 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-02-14 10:31:50 install libcomerr2:amd64 <none> 1.42.12-2+b1
2017-02-14 10:31:50 status half-installed libcomerr2:amd64 1.42.12-2+b1
2017-02-14 10:31:50 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-02-14 10:31:50 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-02-14 10:31:50 install libss2:amd64 <none> 1.42.12-2+b1
2017-02-14 10:31:50 status half-installed libss2:amd64 1.42.12-2+b1
2017-02-14 10:31:50 status unpacked libss2:amd64 1.42.12-2+b1
2017-02-14 10:31:50 status unpacked libss2:amd64 1.42.12-2+b1
2017-02-14 10:31:50 install findutils:amd64 <none> 4.4.2-9+b1
2017-02-14 10:31:50 status half-installed findutils:amd64 4.4.2-9+b1
2017-02-14 10:31:50 status unpacked findutils:amd64 4.4.2-9+b1
2017-02-14 10:31:50 status unpacked findutils:amd64 4.4.2-9+b1
2017-02-14 10:31:50 install gcc-4.8-base:amd64 <none> 4.8.4-1
2017-02-14 10:31:50 status half-installed gcc-4.8-base:amd64 4.8.4-1
2017-02-14 10:31:50 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-02-14 10:31:50 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-02-14 10:31:50 install gcc-4.9-base:amd64 <none> 4.9.2-10
2017-02-14 10:31:50 status half-installed gcc-4.9-base:amd64 4.9.2-10
2017-02-14 10:31:50 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-02-14 10:31:50 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-02-14 10:31:50 install libgcc1:amd64 <none> 1:4.9.2-10
2017-02-14 10:31:50 status half-installed libgcc1:amd64 1:4.9.2-10
2017-02-14 10:31:50 status unpacked libgcc1:amd64 1:4.9.2-10
2017-02-14 10:31:50 status unpacked libgcc1:amd64 1:4.9.2-10
2017-02-14 10:31:50 install libc-bin:amd64 <none> 2.19-18+deb8u7
2017-02-14 10:31:50 status half-installed libc-bin:amd64 2.19-18+deb8u7
2017-02-14 10:31:50 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-02-14 10:31:50 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-02-14 10:31:50 upgrade libc6:amd64 2.19-18+deb8u7 2.19-18+deb8u7
2017-02-14 10:31:50 status half-configured libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:50 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:50 status half-installed libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:51 status half-installed libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:51 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:51 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:51 install multiarch-support:amd64 <none> 2.19-18+deb8u7
2017-02-14 10:31:51 status half-installed multiarch-support:amd64 2.19-18+deb8u7
2017-02-14 10:31:51 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-02-14 10:31:51 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-02-14 10:31:51 install grep:amd64 <none> 2.20-4.1
2017-02-14 10:31:51 status half-installed grep:amd64 2.20-4.1
2017-02-14 10:31:51 status unpacked grep:amd64 2.20-4.1
2017-02-14 10:31:51 status unpacked grep:amd64 2.20-4.1
2017-02-14 10:31:51 install gzip:amd64 <none> 1.6-4
2017-02-14 10:31:51 status half-installed gzip:amd64 1.6-4
2017-02-14 10:31:51 status unpacked gzip:amd64 1.6-4
2017-02-14 10:31:51 status unpacked gzip:amd64 1.6-4
2017-02-14 10:31:51 install hostname:amd64 <none> 3.15
2017-02-14 10:31:51 status half-installed hostname:amd64 3.15
2017-02-14 10:31:51 status unpacked hostname:amd64 3.15
2017-02-14 10:31:51 status unpacked hostname:amd64 3.15
2017-02-14 10:31:51 install init:amd64 <none> 1.22
2017-02-14 10:31:51 status half-installed init:amd64 1.22
2017-02-14 10:31:51 status unpacked init:amd64 1.22
2017-02-14 10:31:51 status unpacked init:amd64 1.22
2017-02-14 10:31:51 install insserv:amd64 <none> 1.14.0-5
2017-02-14 10:31:51 status half-installed insserv:amd64 1.14.0-5
2017-02-14 10:31:51 status unpacked insserv:amd64 1.14.0-5
2017-02-14 10:31:51 status unpacked insserv:amd64 1.14.0-5
2017-02-14 10:31:51 install libkmod2:amd64 <none> 18-3
2017-02-14 10:31:51 status half-installed libkmod2:amd64 18-3
2017-02-14 10:31:51 status unpacked libkmod2:amd64 18-3
2017-02-14 10:31:51 status unpacked libkmod2:amd64 18-3
